,k,loss,p
202,3.0,0.9406666666666667,11.0
203,4.0,0.9393333333333334,11.0
204,5.0,0.9343333333333333,11.0
205,6.0,0.9373333333333334,11.0
206,7.0,0.9293333333333333,11.0
207,8.0,0.933,11.0
208,9.0,0.9283333333333333,11.0
209,10.0,0.9306666666666666,11.0
210,11.0,0.927,11.0
211,12.0,0.9303333333333333,11.0
212,13.0,0.9266666666666666,11.0
213,14.0,0.926,11.0
214,15.0,0.9216666666666666,11.0
215,16.0,0.921,11.0
216,17.0,0.9226666666666666,11.0
217,18.0,0.918,11.0
218,19.0,0.919,11.0
219,20.0,0.9156666666666666,11.0
220,1.0,0.9293333333333333,12.0
221,2.0,0.9293333333333333,12.0
222,3.0,0.9406666666666667,12.0
223,4.0,0.939,12.0
224,5.0,0.9346666666666666,12.0
225,6.0,0.936,12.0
226,7.0,0.929,12.0
227,8.0,0.9326666666666666,12.0
228,9.0,0.929,12.0
229,10.0,0.9313333333333333,12.0
230,11.0,0.9273333333333333,12.0
231,12.0,0.9296666666666666,12.0
232,13.0,0.9263333333333333,12.0
233,14.0,0.9263333333333333,12.0
234,15.0,0.9226666666666666,12.0
235,16.0,0.923,12.0
236,17.0,0.921,12.0
237,18.0,0.9183333333333333,12.0
238,19.0,0.918,12.0
239,20.0,0.915,12.0
240,1.0,0.9296666666666666,13.0
241,2.0,0.9296666666666666,13.0
242,3.0,0.939,13.0
243,4.0,0.939,13.0
244,5.0,0.9353333333333333,13.0
245,6.0,0.9356666666666666,13.0
246,7.0,0.9296666666666666,13.0
247,8.0,0.9336666666666666,13.0
248,9.0,0.9283333333333333,13.0
249,10.0,0.9316666666666666,13.0
250,11.0,0.9266666666666666,13.0
251,12.0,0.9303333333333333,13.0
252,13.0,0.9266666666666666,13.0
253,14.0,0.9273333333333333,13.0
254,15.0,0.9243333333333333,13.0
255,16.0,0.9233333333333333,13.0
256,17.0,0.9216666666666666,13.0
257,18.0,0.9193333333333333,13.0
258,19.0,0.918,13.0
259,20.0,0.9153333333333333,13.0
260,1.0,0.9293333333333333,14.0
261,2.0,0.9293333333333333,14.0
262,3.0,0.9386666666666666,14.0
263,4.0,0.9383333333333334,14.0
264,5.0,0.9343333333333333,14.0
265,6.0,0.9376666666666666,14.0
266,7.0,0.93,14.0
267,8.0,0.933,14.0
268,9.0,0.9303333333333333,14.0
269,10.0,0.9316666666666666,14.0
270,11.0,0.9276666666666666,14.0
271,12.0,0.9316666666666666,14.0
272,13.0,0.928,14.0
273,14.0,0.9266666666666666,14.0
274,15.0,0.9253333333333333,14.0
275,16.0,0.9226666666666666,14.0
276,17.0,0.9213333333333333,14.0
277,18.0,0.9196666666666666,14.0
278,19.0,0.9173333333333333,14.0
279,20.0,0.915,14.0
280,1.0,0.9296666666666666,15.0
281,2.0,0.9296666666666666,15.0
282,3.0,0.938,15.0
283,4.0,0.9383333333333334,15.0
284,5.0,0.934,15.0
285,6.0,0.938,15.0
286,7.0,0.9313333333333333,15.0
287,8.0,0.934,15.0
288,9.0,0.9306666666666666,15.0
289,10.0,0.9316666666666666,15.0
290,11.0,0.927,15.0
291,12.0,0.9316666666666666,15.0
292,13.0,0.9276666666666666,15.0
293,14.0,0.926,15.0
294,15.0,0.925,15.0
295,16.0,0.9223333333333333,15.0
296,17.0,0.9203333333333333,15.0
297,18.0,0.9186666666666666,15.0
298,19.0,0.916,15.0
299,20.0,0.9156666666666666,15.0
